airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
1,1,2,1,2,0,1,49.83,2,23891
1,1,2,0,2,0,1,49.83,9,17538
1,0,2,0,2,1,1,47.75,47,7461
1,0,2,0,2,1,0,47.75,47,55122
5,1,4,0,4,0,1,47.08,3,17223
1,1,0,1,4,0,1,45.83,6,12813
1,1,0,1,4,0,1,45.83,13,12813
1,1,0,1,4,0,0,45.83,6,51928
1,1,2,0,0,4,1,44.5,1,32439
1,3,5,0,0,4,1,42,1,33853
1,0,1,1,5,3,1,41.83,45,6920
1,0,1,1,5,3,1,41.83,47,6500
1,0,1,0,3,2,1,41.58,1,21921
1,1,1,0,5,4,1,41.5,2,31398
1,1,1,0,5,2,1,41.08,49,5601
1,3,1,0,5,5,1,40.92,7,10967
1,3,1,0,5,5,1,40.92,14,10967
1,0,0,1,1,1,1,40.75,9,11522
1,0,1,1,5,1,1,40.67,2,17674
1,3,5,0,0,4,1,40.67,1,26494
1,0,1,1,5,1,0,40.67,2,65674
1,4,1,0,5,5,1,40.5,48,6786
1,4,1,0,5,5,1,40.5,49,6786
1,1,2,1,4,0,1,40.5,46,6388
1,4,1,1,5,5,1,40.42,3,12247
1,4,1,1,5,5,1,40.42,4,11323
1,4,1,1,5,5,1,40.42,6,11323
1,4,1,1,5,5,1,40.42,7,11323
1,4,1,1,5,5,1,40.42,8,11323
1,4,1,1,5,5,1,40.42,10,11323
1,4,1,1,5,5,1,40.42,11,11323
1,4,1,1,5,5,1,40.42,13,11323
1,4,1,1,5,5,1,40.42,14,11323
1,4,1,1,5,5,1,40.42,15,10063
1,4,1,0,5,5,1,40.42,17,7207
1,4,1,0,5,5,1,40.42,20,7732
1,4,1,0,5,5,1,40.42,21,8047
1,4,1,0,5,5,1,40.42,22,7732
1,4,1,0,5,5,1,40.42,24,7207
1,4,1,0,5,5,1,40.42,27,6786
1,4,1,0,5,5,1,40.42,28,6786
1,4,1,0,5,5,1,40.42,29,7207
1,4,1,0,5,5,1,40.42,34,7207
1,4,1,0,5,5,1,40.42,35,7207
1,4,1,0,5,5,1,40.42,38,7732
